AQDATE,FCODE,KLSRMP,KODATC,NAMOBJ,PUDATE,REMARK,SRS_ID,JNSPDG,LCODE,METADATA,SHAPE_Leng,SHAPE_Area,KODLCO,JNSSMK,layer,path
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00388474411,0.00000048398,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00173545726,0.00000015238,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.01599600346,0.00000241790,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00121753098,0.00000002037,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00416744374,0.00000091473,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00468572090,0.00000080495,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00230788462,0.00000030206,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.01649499144,0.00000275715,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00541994139,0.00000064022,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00251318024,0.00000035681,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00362508987,0.00000048250,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.04517718482,0.00000753000,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.01133400807,0.00000317463,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00565285252,0.00000116026,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00997986198,0.00000122171,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00777850151,0.00000170140,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00397317692,0.00000057276,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00373666632,0.00000058235,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.10149978524,0.00003145029,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00324224395,0.00000029023,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00371822799,0.00000030434,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00886965889,0.00000198134,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00495746520,0.00000024408,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00581927889,0.00000116228,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00162531550,0.00000005721,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
